name,type,start_time,duration,"mosi","miso"
"SPI","result",0.003814458,0.000024042,0x40,0xFF
"SPI","result",0.00385375,0.000024042,0x00,0xFF
"SPI","result",0.003892958,0.000024,0x00,0xFF
"SPI","result",0.003932208,0.000024042,0x00,0xFF
"SPI","result",0.003971458,0.000024042,0x01,0xFF
"SPI","result",0.004010792,0.000024042,0xFF,0xFF
"SPI","result",0.004050292,0.000024042,0xFF,0x01
"SPI","disable",0.004083375,0.000000042,,
"SPI","enable",0.004123667,0.000000042,,
"SPI","result",0.004132125,0.000024042,0xFF,0xFF
"SPI","result",0.00417175,0.000024042,0xFF,0xFF
"SPI","result",0.004211875,0.000024042,0x77,0xFF
"SPI","result",0.004251083,0.000024042,0x00,0xFF
"SPI","result",0.004290333,0.000024042,0x00,0xFF
"SPI","result",0.004329542,0.000024042,0x00,0xFF
"SPI","result",0.004368833,0.000024042,0x00,0xFF
"SPI","result",0.004408083,0.000024042,0x01,0xFF
"SPI","result",0.004447417,0.000024042,0xFF,0xFF
"SPI","result",0.004486917,0.000024042,0xFF,0x01
"SPI","disable",0.004519,0.000000042,,
"SPI","enable",0.004559167,0.000000042,,
"SPI","result",0.004567625,0.000024042,0xFF,0xFF
"SPI","result",0.004607292,0.000024,0xFF,0xFF
"SPI","result",0.004647417,0.000024042,0x69,0xFF
"SPI","result",0.004686625,0.000024042,0x40,0xFF
"SPI","result",0.004725875,0.000024042,0x00,0xFF
"SPI","result",0.004765083,0.000024042,0x00,0xFF
"SPI","result",0.004804333,0.000024042,0x00,0xFF
"SPI","result",0.004843625,0.000024042,0x01,0xFF
"SPI","result",0.004882958,0.000024042,0xFF,0xFF
"SPI","result",0.004922458,0.000024042,0xFF,0x01
"SPI","disable",0.004955542,0.000000042,,
"SPI","enable",0.004995792,0.000000042,,
"SPI","result",0.005004292,0.000024042,0xFF,0xFF
"SPI","result",0.005043917,0.000024042,0xFF,0xFF
"SPI","result",0.005084083,0.000024042,0x77,0xFF
"SPI","result",0.005123292,0.000024042,0x00,0xFF
"SPI","result",0.005162542,0.000024042,0x00,0xFF
"SPI","result",0.00520175,0.000024042,0x00,0xFF
"SPI","result",0.005241042,0.000024042,0x00,0xFF
"SPI","result",0.005280292,0.000024042,0x01,0xFF
"SPI","result",0.005319625,0.000024042,0xFF,0xFF
"SPI","result",0.005359083,0.000024042,0xFF,0x01
"SPI","disable",0.005391208,0.000000042,,
"SPI","enable",0.0054315,0.000000042,,
"SPI","result",0.005439958,0.000024083,0xFF,0xFF
"SPI","result",0.005479625,0.000024042,0xFF,0xFF
"SPI","result",0.005519792,0.000024042,0x69,0xFF
"SPI","result",0.005558833,0.000024042,0x40,0xFF
"SPI","result",0.005598083,0.000024042,0x00,0xFF
"SPI","result",0.005637292,0.000024042,0x00,0xFF
"SPI","result",0.005676542,0.000024042,0x00,0xFF
"SPI","result",0.005715792,0.000024042,0x01,0xFF
"SPI","result",0.005755125,0.000024042,0xFF,0xFF
"SPI","result",0.005794625,0.000024042,0xFF,0x01
"SPI","disable",0.005827708,0.000000042,,
"SPI","enable",0.005868,0.000000042,,
"SPI","result",0.005876458,0.000024042,0xFF,0xFF
"SPI","result",0.005916125,0.000024042,0xFF,0xFF
"SPI","result",0.00595625,0.000024042,0x77,0xFF
"SPI","result",0.005995458,0.000024042,0x00,0xFF
"SPI","result",0.006034708,0.000024083,0x00,0xFF
"SPI","result",0.006073958,0.000024042,0x00,0xFF
"SPI","result",0.006113208,0.000024042,0x00,0xFF
"SPI","result",0.006152458,0.000024042,0x01,0xFF
"SPI","result",0.006191833,0.000024042,0xFF,0xFF
"SPI","result",0.006231333,0.000024042,0xFF,0x01
"SPI","disable",0.006263417,0.000000042,,
"SPI","enable",0.00630375,0.000000042,,
"SPI","result",0.006312208,0.000024042,0xFF,0xFF
"SPI","result",0.006351875,0.000024042,0xFF,0xFF
"SPI","result",0.006392,0.000024042,0x69,0xFF
"SPI","result",0.006431208,0.000024042,0x40,0xFF
"SPI","result",0.0064705,0.000024042,0x00,0xFF
"SPI","result",0.006509708,0.000024042,0x00,0xFF
"SPI","result",0.006548792,0.000024042,0x00,0xFF
"SPI","result",0.006588042,0.000024083,0x01,0xFF
"SPI","result",0.006627417,0.000024042,0xFF,0xFF
"SPI","result",0.006666875,0.000024042,0xFF,0x01
"SPI","disable",0.006699958,0.000000042,,
"SPI","enable",0.00674025,0.000000042,,
"SPI","result",0.006748708,0.000024042,0xFF,0xFF
"SPI","result",0.006788333,0.000024042,0xFF,0xFF
"SPI","result",0.006828458,0.000024042,0x77,0xFF
"SPI","result",0.006867708,0.000024042,0x00,0xFF
"SPI","result",0.006906958,0.000024042,0x00,0xFF
"SPI","result",0.006946167,0.000024042,0x00,0xFF
"SPI","result",0.006985417,0.000024042,0x00,0xFF
"SPI","result",0.007024667,0.000024042,0x01,0xFF
"SPI","result",0.007064,0.000024042,0xFF,0xFF
"SPI","result",0.0071035,0.000024042,0xFF,0x01
"SPI","disable",0.007135583,0.000000042,,
"SPI","enable",0.007175875,0.000000042,,
"SPI","result",0.007184375,0.000024042,0xFF,0xFF
"SPI","result",0.007224,0.000024042,0xFF,0xFF
"SPI","result",0.007264167,0.000024042,0x69,0xFF
"SPI","result",0.007303375,0.000024042,0x40,0xFF
"SPI","result",0.007342625,0.000024042,0x00,0xFF
"SPI","result",0.007381833,0.000024042,0x00,0xFF
"SPI","result",0.007421125,0.000024,0x00,0xFF
"SPI","result",0.007460375,0.000024,0x01,0xFF
"SPI","result",0.007499708,0.000024042,0xFF,0xFF
"SPI","result",0.007539917,0.000024042,0xFF,0x01
"SPI","disable",0.007573,0.000000042,,
"SPI","enable",0.00761325,0.000000042,,
"SPI","result",0.007621708,0.000024083,0xFF,0xFF
"SPI","result",0.007661375,0.000024042,0xFF,0xFF
"SPI","result",0.0077015,0.000024083,0x77,0xFF
"SPI","result",0.00774075,0.000024042,0x00,0xFF
"SPI","result",0.00778,0.000024042,0x00,0xFF
"SPI","result",0.007819208,0.000024042,0x00,0xFF
"SPI","result",0.007858458,0.000024042,0x00,0xFF
"SPI","result",0.007897708,0.000024083,0x01,0xFF
"SPI","result",0.007937083,0.000024042,0xFF,0xFF
"SPI","result",0.007976583,0.000024042,0xFF,0x01
"SPI","disable",0.008008667,0.000000042,,
"SPI","enable",0.008048958,0.000000042,,
"SPI","result",0.008057458,0.000024042,0xFF,0xFF
"SPI","result",0.008097083,0.000024042,0xFF,0xFF
"SPI","result",0.00813725,0.000024042,0x69,0xFF
"SPI","result",0.008176458,0.000024042,0x40,0xFF
"SPI","result",0.008215708,0.000024042,0x00,0xFF
"SPI","result",0.008254917,0.000024042,0x00,0xFF
"SPI","result",0.008294208,0.000024042,0x00,0xFF
"SPI","result",0.008333458,0.000024042,0x01,0xFF
"SPI","result",0.008372792,0.000024042,0xFF,0xFF
"SPI","result",0.00841225,0.000024042,0xFF,0x01
"SPI","disable",0.008445375,0.000000042,,
"SPI","enable",0.008485625,0.000000042,,
"SPI","result",0.008494083,0.000024042,0xFF,0xFF
"SPI","result",0.008534542,0.000024042,0xFF,0xFF
"SPI","result",0.008574708,0.000024,0x77,0xFF
"SPI","result",0.008613875,0.000024083,0x00,0xFF
"SPI","result",0.008653167,0.000024042,0x00,0xFF
"SPI","result",0.008692375,0.000024042,0x00,0xFF
"SPI","result",0.008731625,0.000024042,0x00,0xFF
"SPI","result",0.008770917,0.000024042,0x01,0xFF
"SPI","result",0.00881025,0.000024042,0xFF,0xFF
"SPI","result",0.008849708,0.000024042,0xFF,0x01
"SPI","disable",0.008881833,0.000000042,,
"SPI","enable",0.008922125,0.000000042,,
"SPI","result",0.008930583,0.000024042,0xFF,0xFF
"SPI","result",0.00897025,0.000024042,0xFF,0xFF
"SPI","result",0.009010375,0.000024042,0x69,0xFF
"SPI","result",0.009049583,0.000024042,0x40,0xFF
"SPI","result",0.009088833,0.000024042,0x00,0xFF
"SPI","result",0.009128083,0.000024042,0x00,0xFF
"SPI","result",0.009167333,0.000024042,0x00,0xFF
"SPI","result",0.009206583,0.000024042,0x01,0xFF
"SPI","result",0.009245917,0.000024042,0xFF,0xFF
"SPI","result",0.009285417,0.000024042,0xFF,0x01
"SPI","disable",0.0093185,0.000000042,,
"SPI","enable",0.009358792,0.000000042,,
"SPI","result",0.00936725,0.000024042,0xFF,0xFF
"SPI","result",0.009406917,0.000024042,0xFF,0xFF
"SPI","result",0.009447042,0.000024042,0x77,0xFF
"SPI","result",0.00948625,0.000024042,0x00,0xFF
"SPI","result",0.009525542,0.000024042,0x00,0xFF
"SPI","result",0.009564583,0.000024042,0x00,0xFF
"SPI","result",0.009603833,0.000024042,0x00,0xFF
"SPI","result",0.009643083,0.000024042,0x01,0xFF
"SPI","result",0.009682417,0.000024042,0xFF,0xFF
"SPI","result",0.009721917,0.000024042,0xFF,0x01
"SPI","disable",0.009754,0.000000042,,
"SPI","enable",0.009794333,0.000000042,,
"SPI","result",0.009802792,0.000024042,0xFF,0xFF
"SPI","result",0.009842417,0.000024042,0xFF,0xFF
"SPI","result",0.009882542,0.000024042,0x69,0xFF
"SPI","result",0.00992175,0.000024042,0x40,0xFF
"SPI","result",0.009961042,0.000024,0x00,0xFF
"SPI","result",0.01000025,0.000024042,0x00,0xFF
"SPI","result",0.0100395,0.000024042,0x00,0xFF
"SPI","result",0.01007875,0.000024042,0x01,0xFF
"SPI","result",0.010118083,0.000024042,0xFF,0xFF
"SPI","result",0.010157583,0.000024042,0xFF,0x01
"SPI","disable",0.010190667,0.000000042,,
"SPI","enable",0.010230917,0.000000042,,
"SPI","result",0.010239417,0.000024042,0xFF,0xFF
"SPI","result",0.010279042,0.000024042,0xFF,0xFF
"SPI","result",0.010319167,0.000024042,0x77,0xFF
"SPI","result",0.010358375,0.000024042,0x00,0xFF
"SPI","result",0.010397667,0.000024042,0x00,0xFF
"SPI","result",0.010436875,0.000024042,0x00,0xFF
"SPI","result",0.010476125,0.000024042,0x00,0xFF
"SPI","result",0.010515375,0.000024042,0x01,0xFF
"SPI","result",0.010554542,0.000024042,0xFF,0xFF
"SPI","result",0.010594042,0.000024042,0xFF,0x01
"SPI","disable",0.010626167,0.000000042,,
"SPI","enable",0.010666458,0.000000042,,
"SPI","result",0.010674917,0.000024042,0xFF,0xFF
"SPI","result",0.010714583,0.000024042,0xFF,0xFF
"SPI","result",0.010754708,0.000024042,0x69,0xFF
"SPI","result",0.010793917,0.000024042,0x40,0xFF
"SPI","result",0.010833167,0.000024042,0x00,0xFF
"SPI","result",0.010872417,0.000024042,0x00,0xFF
"SPI","result",0.010911667,0.000024042,0x00,0xFF
"SPI","result",0.010950917,0.000024042,0x01,0xFF
"SPI","result",0.01099025,0.000024042,0xFF,0xFF
"SPI","result",0.011029708,0.000024042,0xFF,0x01
"SPI","disable",0.011062792,0.000000042,,
"SPI","enable",0.011103083,0.000000042,,
"SPI","result",0.011111542,0.000024042,0xFF,0xFF
"SPI","result",0.011151167,0.000024042,0xFF,0xFF
"SPI","result",0.011191292,0.000024042,0x77,0xFF
"SPI","result",0.0112305,0.000024042,0x00,0xFF
"SPI","result",0.01126975,0.000024042,0x00,0xFF
"SPI","result",0.011308958,0.000024042,0x00,0xFF
"SPI","result",0.011348208,0.000024042,0x00,0xFF
"SPI","result",0.011387458,0.000024042,0x01,0xFF
"SPI","result",0.011426792,0.000024042,0xFF,0xFF
"SPI","result",0.011466292,0.000024,0xFF,0x01
"SPI","disable",0.011498375,0.000000042,,
"SPI","enable",0.0115385,0.000000042,,
"SPI","result",0.011546958,0.000024042,0xFF,0xFF
"SPI","result",0.011586583,0.000024042,0xFF,0xFF
"SPI","result",0.01162675,0.000024,0x69,0xFF
"SPI","result",0.011665958,0.000024,0x40,0xFF
"SPI","result",0.011705167,0.000024042,0x00,0xFF
"SPI","result",0.011744375,0.000024042,0x00,0xFF
"SPI","result",0.011783625,0.000024042,0x00,0xFF
"SPI","result",0.011822875,0.000024042,0x01,0xFF
"SPI","result",0.011862208,0.000024042,0xFF,0xFF
"SPI","result",0.011901708,0.000024042,0xFF,0x01
"SPI","disable",0.011934792,0.000000042,,
"SPI","enable",0.011975042,0.000000042,,
"SPI","result",0.0119835,0.000024042,0xFF,0xFF
"SPI","result",0.012023125,0.000024042,0xFF,0xFF
"SPI","result",0.01206325,0.000024042,0x77,0xFF
"SPI","result",0.012102458,0.000024042,0x00,0xFF
"SPI","result",0.012141708,0.000024042,0x00,0xFF
"SPI","result",0.012180917,0.000024042,0x00,0xFF
"SPI","result",0.012220167,0.000024042,0x00,0xFF
"SPI","result",0.012259417,0.000024042,0x01,0xFF
"SPI","result",0.01229875,0.000024042,0xFF,0xFF
"SPI","result",0.01233825,0.000024,0xFF,0x01
"SPI","disable",0.012370333,0.000000042,,
"SPI","enable",0.012410625,0.000000042,,
"SPI","result",0.012419083,0.000024042,0xFF,0xFF
"SPI","result",0.01245875,0.000024042,0xFF,0xFF
"SPI","result",0.012498875,0.000024042,0x69,0xFF
"SPI","result",0.012538917,0.000024,0x40,0xFF
"SPI","result",0.012578167,0.000024042,0x00,0xFF
"SPI","result",0.012617375,0.000024042,0x00,0xFF
"SPI","result",0.012656625,0.000024042,0x00,0xFF
"SPI","result",0.012695917,0.000024042,0x01,0xFF
"SPI","result",0.01273525,0.000024042,0xFF,0xFF
"SPI","result",0.01277475,0.000024042,0xFF,0x01
"SPI","disable",0.012807833,0.000000042,,
